,parents,has_nurs,children,housing,finance,social,class,form_complete,form_completed,form_foster,form_incomplete,health_not_recom,health_priority,health_recommended
1,2,3,0,0,0,0,1,1,0,0,0,0,1,0
2,2,3,0,0,0,0,0,1,0,0,0,1,0,0
4,2,3,0,0,0,2,1,1,0,0,0,0,1,0
5,2,3,0,0,0,2,0,1,0,0,0,1,0,0
6,2,3,0,0,0,1,1,1,0,0,0,0,0,1
7,2,3,0,0,0,1,1,1,0,0,0,0,1,0
8,2,3,0,0,0,1,0,1,0,0,0,1,0,0
9,2,3,0,0,1,0,3,1,0,0,0,0,0,1
10,2,3,0,0,1,0,1,1,0,0,0,0,1,0
11,2,3,0,0,1,0,0,1,0,0,0,1,0,0
12,2,3,0,0,1,2,3,1,0,0,0,0,0,1
13,2,3,0,0,1,2,1,1,0,0,0,0,1,0
14,2,3,0,0,1,2,0,1,0,0,0,1,0,0
15,2,3,0,0,1,1,1,1,0,0,0,0,0,1
16,2,3,0,0,1,1,1,1,0,0,0,0,1,0
17,2,3,0,0,1,1,0,1,0,0,0,1,0,0
18,2,3,0,2,0,0,3,1,0,0,0,0,0,1
19,2,3,0,2,0,0,1,1,0,0,0,0,1,0
20,2,3,0,2,0,0,0,1,0,0,0,1,0,0
21,2,3,0,2,0,2,3,1,0,0,0,0,0,1
22,2,3,0,2,0,2,1,1,0,0,0,0,1,0
23,2,3,0,2,0,2,0,1,0,0,0,1,0,0
24,2,3,0,2,0,1,1,1,0,0,0,0,0,1
25,2,3,0,2,0,1,1,1,0,0,0,0,1,0
26,2,3,0,2,0,1,0,1,0,0,0,1,0,0
27,2,3,0,2,1,0,3,1,0,0,0,0,0,1
28,2,3,0,2,1,0,1,1,0,0,0,0,1,0
29,2,3,0,2,1,0,0,1,0,0,0,1,0,0
30,2,3,0,2,1,2,3,1,0,0,0,0,0,1
31,2,3,0,2,1,2,1,1,0,0,0,0,1,0
32,2,3,0,2,1,2,0,1,0,0,0,1,0,0
33,2,3,0,2,1,1,1,1,0,0,0,0,0,1
34,2,3,0,2,1,1,1,1,0,0,0,0,1,0
35,2,3,0,2,1,1,0,1,0,0,0,1,0,0
36,2,3,0,1,0,0,3,1,0,0,0,0,0,1
37,2,3,0,1,0,0,1,1,0,0,0,0,1,0
38,2,3,0,1,0,0,0,1,0,0,0,1,0,0
39,2,3,0,1,0,2,3,1,0,0,0,0,0,1
